Season,Region,County,CDC Week,Week Ending Date,Disease,Count,County Centroid,FIPS
2025-2026,CENTRAL,ONEIDA,3,1/24/2026,INFLUENZA_A,120,"    (43.2427273, -75.4342824)",36065
2025-2026,CENTRAL,BROOME,3,1/24/2026,INFLUENZA_B,23,"    (42.1619773, -75.830291)",36007
2025-2026,WESTERN,MONROE,3,1/24/2026,INFLUENZA_A,153,"    (43.174966, -77.639663)",36055
2025-2026,CAPITAL DISTRICT,WASHINGTON,3,1/24/2026,INFLUENZA_UNSPECIFIED,3,"    (43.3123766, -73.4394282)",36115
2025-2026,CAPITAL DISTRICT,DELAWARE,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (42.1939865, -74.966728)",36025
2025-2026,CENTRAL,HERKIMER,3,1/24/2026,INFLUENZA_B,4,"    (43.1631, -74.8741)",36043
2025-2026,CAPITAL DISTRICT,COLUMBIA,3,1/24/2026,INFLUENZA_A,17,"    (42.2477286, -73.6268046)",36021
2025-2026,NYC,RICHMOND,3,1/24/2026,INFLUENZA_A,109,"    (40.5795, -74.1502)",36085
2025-2026,WESTERN,ONTARIO,3,1/24/2026,INFLUENZA_B,33,"    (42.8566949, -77.3032768)",36069
2025-2026,CAPITAL DISTRICT,GREENE,3,1/24/2026,INFLUENZA_A,18,"    (42.2869511, -74.1494949)",36039
2025-2026,WESTERN,NIAGARA,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (43.203001, -78.71083)",36063
2025-2026,CENTRAL,CORTLAND,3,1/24/2026,INFLUENZA_A,48,"    (42.5938237, -76.0762647)",36023
2025-2026,METRO,ORANGE,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (41.4024096, -74.3062522)",36071
2025-2026,CAPITAL DISTRICT,COLUMBIA,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (42.2477286, -73.6268046)",36021
2025-2026,WESTERN,WYOMING,3,1/24/2026,INFLUENZA_A,17,"    (42.7013627, -78.2285667)",36121
2025-2026,CENTRAL,HERKIMER,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (43.1631, -74.8741)",36043
2025-2026,WESTERN,CHAUTAUQUA,3,1/24/2026,INFLUENZA_B,4,"    (42.3042159, -79.4075949)",36013
2025-2026,CENTRAL,ONEIDA,3,1/24/2026,INFLUENZA_UNSPECIFIED,4,"    (43.2427273, -75.4342824)",36065
2025-2026,CENTRAL,TOMPKINS,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (42.4532811, -76.4737116)",36109
2025-2026,CENTRAL,JEFFERSON,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (44.0607, -75.9928)",36045
2025-2026,CENTRAL,BROOME,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (42.1619773, -75.830291)",36007
2025-2026,METRO,ULSTER,3,1/24/2026,INFLUENZA_UNSPECIFIED,3,"    (41.9472321, -74.265447)",36111
2025-2026,WESTERN,ONTARIO,3,1/24/2026,INFLUENZA_A,31,"    (42.8566949, -77.3032768)",36069
2025-2026,CENTRAL,LEWIS,3,1/24/2026,INFLUENZA_A,10,"    (43.7863965, -75.4426165)",36049
2025-2026,METRO,SUFFOLK,3,1/24/2026,INFLUENZA_B,164,"    (40.943554, -72.6922184)",36103
2025-2026,WESTERN,SENECA,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (42.7652, -76.8721)",36099
2025-2026,CENTRAL,ST LAWRENCE,3,1/24/2026,INFLUENZA_A,10,"    (44.4881125, -75.074311)",36089
2025-2026,CAPITAL DISTRICT,MONTGOMERY,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (42.9008912, -74.4353575)",36057
2025-2026,WESTERN,CATTARAUGUS,3,1/24/2026,INFLUENZA_A,5,"    (42.2448527, -78.6810055)",36009
2025-2026,CAPITAL DISTRICT,FULTON,3,1/24/2026,INFLUENZA_A,32,"    (43.1156093, -74.4236782)",36035
2025-2026,CENTRAL,CAYUGA,3,1/24/2026,INFLUENZA_B,6,"    (43.0085456, -76.5745866)",36011
2025-2026,NYC,NEW YORK,3,1/24/2026,INFLUENZA_A,376,"    (40.7831, -73.9712)",36061
2025-2026,METRO,DUTCHESS,3,1/24/2026,INFLUENZA_B,9,"    (41.7550085, -73.7399512)",36027
2025-2026,WESTERN,MONROE,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (43.174966, -77.639663)",36055
2025-2026,WESTERN,CHEMUNG,3,1/24/2026,INFLUENZA_B,4,"    (42.1552807, -76.7471788)",36015
2025-2026,CAPITAL DISTRICT,SCHENECTADY,3,1/24/2026,INFLUENZA_UNSPECIFIED,3,"    (42.8175421, -74.0435834)",36093
2025-2026,CENTRAL,TIOGA,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (42.1256, -76.3637)",36107
2025-2026,CENTRAL,TOMPKINS,3,1/24/2026,INFLUENZA_A,105,"    (42.4532811, -76.4737116)",36109
2025-2026,CAPITAL DISTRICT,DELAWARE,3,1/24/2026,INFLUENZA_A,29,"    (42.1939865, -74.966728)",36025
2025-2026,CAPITAL DISTRICT,SCHOHARIE,3,1/24/2026,INFLUENZA_A,9,"    (42.591294, -74.4381718)",36095
2025-2026,CAPITAL DISTRICT,SCHENECTADY,3,1/24/2026,INFLUENZA_B,35,"    (42.8175421, -74.0435834)",36093
